Stacktrace,Expected Elements
"java.security.ProviderException: Could not initialize NSS
 at jdk.crypto.cryptoki/sun.security.pkcs11.SunPKCS11.<init>(SunPKCS11.java:250)
 Caused by: java.io.IOException: NSS initialization failed
 at jdk.crypto.cryptoki/sun.security.pkcs11.SunPKCS11.<init>(SunPKCS11.java:245)","[
    ('ExceptionType', 'java.security.ProviderException'),
    ('ExceptionMessage', 'Could not initialize NSS'),
    ('ClassElem', 'jdk.crypto.cryptoki/sun.security.pkcs11.SunPKCS11'),
    ('MethodElem', '<init>'),
    ('FileElem', 'SunPKCS11.java'),
    ('LineElem', '250'),
    ('ExceptionType', 'java.io.IOException'),
    ('ExceptionMessage', 'NSS initialization failed'),
    ('ClassElem', 'jdk.crypto.cryptoki/sun.security.pkcs11.SunPKCS11'),
    ('MethodElem', '<init>'),
    ('FileElem', 'SunPKCS11.java'),
    ('LineElem', '245')
]"
"Caused by: java.lang.IllegalArgumentException: Wrong type at constant pool index
 at sun.reflect.ConstantPool.getClassAt0(Native Method)
 Caused by: java.lang.annotation.AnnotationFormatError: java.lang.IllegalArgumentException: Wrong type at constant pool index
 at org.springframework.web.servlet.DispatcherServlet.doDispatch(DispatcherServlet.java:1067)","[
    ('ExceptionType', 'java.lang.IllegalArgumentException'),
    ('ExceptionMessage', 'Wrong type at constant pool index'),
    ('ClassElem', 'sun.reflect.ConstantPool'),
    ('MethodElem', 'getClassAt0'),
    ('FileElem', 'Native Method'),
    ('LineElem', ''),
    ('ExceptionType', 'java.lang.annotation.AnnotationFormatError'),
    ('ExceptionMessage', 'java.lang.IllegalArgumentException: Wrong type at constant pool index'),
    ('ClassElem', 'org.springframework.web.servlet.DispatcherServlet'),
    ('MethodElem', 'doDispatch'),
    ('FileElem', 'DispatcherServlet.java'),
    ('LineElem', '1067')
]"
"An error occurred while instantiating class org.openj9.test.jep442.downcall.InvalidDownCallTests: no clinkerffitests in java.library.path: /usr/java/packages/lib:/usr/lib64:/lib64:/lib:/usr/lib
 at org.testng.internal.ClassHelper.createInstance1(ClassHelper.java:435)
 Caused by: java.lang.UnsatisfiedLinkError: no clinkerffitests in java.library.path: /usr/java/packages/lib:/usr/lib64:/lib64:/lib:/usr/lib
 at org.testng.internal.ClassHelper.createInstance1(ClassHelper.java:423)","[
    ('ExceptionType', 'java.lang.UnsatisfiedLinkError'),
    ('ExceptionMessage', 'no clinkerffitests in java.library.path: /usr/java/packages/lib:/usr/lib64:/lib64:/lib:/usr/lib'),
    ('ClassElem', 'org.testng.internal.ClassHelper'),
    ('MethodElem', 'createInstance1'),
    ('FileElem', 'ClassHelper.java'),
    ('LineElem', '435'),
    ('ExceptionType', 'java.lang.UnsatisfiedLinkError'),
    ('ExceptionMessage', 'no clinkerffitests in java.library.path: /usr/java/packages/lib:/usr/lib64:/lib64:/lib:/usr/lib'),
    ('ClassElem', 'org.testng.internal.ClassHelper'),
    ('MethodElem', 'createInstance1'),
    ('FileElem', 'ClassHelper.java'),
    ('LineElem', '423')
]"
"java.lang.NullPointerException: Cannot read field ""scheduler"" because ""this"" is null
 at java.base/java.lang.VirtualThread.submitRunContinuation(VirtualThread.java:241)
 at java.base/java.lang.Thread.run(Thread.java:1639)","[
    ('ExceptionType', 'java.lang.NullPointerException'),
    ('ExceptionMessage', 'Cannot read field ""scheduler"" because ""this"" is null'),
    ('ClassElem', 'java.base/java.lang.VirtualThread'),
    ('MethodElem', 'submitRunContinuation'),
    ('FileElem', 'VirtualThread.java'),
    ('LineElem', '241'),
    ('ClassElem', 'java.base/java.lang.Thread'),
    ('MethodElem', 'run'),
    ('FileElem', 'Thread.java'),
    ('LineElem', '1639')
]"
"java.lang.AssertionError: expected [40] but found [32]
 at org.testng.Assert.fail(Assert.java:96)
 at org.testng.internal.MethodInvocationHelper.invokeMethod(MethodInvocationHelper.java:124)","[
    ('ExceptionType', 'java.lang.AssertionError'),
    ('ExceptionMessage', 'expected [40] but found [32]'),
    ('ClassElem', 'org.testng.Assert'),
    ('MethodElem', 'fail'),
    ('FileElem', 'Assert.java'),
    ('LineElem', '96'),
    ('ClassElem', 'org.testng.internal.MethodInvocationHelper'),
    ('MethodElem', 'invokeMethod'),
    ('FileElem', 'MethodInvocationHelper.java'),
    ('LineElem', '124')
]"
"java.lang.AssertionError: expected [24] but found [16]
 at org.testng.Assert.fail(Assert.java:96)
 at org.testng.internal.MethodInvocationHelper.invokeMethod(MethodInvocationHelper.java:124)","[
    ('ExceptionType', 'java.lang.AssertionError'),
    ('ExceptionMessage', 'expected [24] but found [16]'),
    ('ClassElem', 'org.testng.Assert'),
    ('MethodElem', 'fail'),
    ('FileElem', 'Assert.java'),
    ('LineElem', '96'),
    ('ClassElem', 'org.testng.internal.MethodInvocationHelper'),
    ('MethodElem', 'invokeMethod'),
    ('FileElem', 'MethodInvocationHelper.java'),
    ('LineElem', '124')
]"
"java.util.zip.ZipException: invalid entry crc-32 (expected 0x0 but got 0xa0058808)
 at java.base/java.util.zip.ZipOutputStream.closeEntry(ZipOutputStream.java:308)
 at java.base/java.lang.Thread.run(Thread.java:1639)
 Suppressed: java.util.zip.ZipException: invalid entry crc-32 (expected 0x0 but got 0xa0058808)
 at java.base/java.util.zip.ZipOutputStream.closeEntry(ZipOutputStream.java:308)
 at ManyEntries.test(ManyEntries.java:58)","[
    ('ExceptionType', 'java.util.zip.ZipException'),
    ('ExceptionMessage', 'invalid entry crc-32 (expected 0x0 but got 0xa0058808)'),
    ('ClassElem', 'java.base/java.util.zip.ZipOutputStream'),
    ('MethodElem', 'closeEntry'),
    ('FileElem', 'ZipOutputStream.java'),
    ('LineElem', '308'),
    ('ClassElem', 'java.base/java.lang.Thread'),
    ('MethodElem', 'run'),
    ('FileElem', 'Thread.java'),
    ('LineElem', '1639'),
    ('ExceptionType', 'java.util.zip.ZipException'),
    ('ExceptionMessage', 'invalid entry crc-32 (expected 0x0 but got 0xa0058808)'),
    ('ClassElem', 'java.base/java.util.zip.ZipOutputStream'),
    ('MethodElem', 'closeEntry'),
    ('FileElem', 'ZipOutputStream.java'),
    ('LineElem', '308'),
    ('ClassElem', 'ManyEntries'),
    ('MethodElem', 'test'),
    ('FileElem', 'ManyEntries.java'),
    ('LineElem', '58')
]"
"java.lang.RuntimeException: Calculated checksum result was invalid. Expected cbf43926, but got 0.
 at ChecksumBase.checkChecksum(ChecksumBase.java:92)
 at java.base/java.lang.Thread.run(Thread.java:1639)","[
    ('ExceptionType', 'java.lang.RuntimeException'),
    ('ExceptionMessage', 'Calculated checksum result was invalid. Expected cbf43926, but got 0.'),
    ('ClassElem', 'ChecksumBase'),
    ('MethodElem', 'checkChecksum'),
    ('FileElem', 'ChecksumBase.java'),
    ('LineElem', '92'),
    ('ClassElem', 'java.base/java.lang.Thread'),
    ('MethodElem', 'run'),
    ('FileElem', 'Thread.java'),
    ('LineElem', '1639')
]"
"Underlying exception : org.mockito.exceptions.base.MockitoException: Could not modify all classes [class java.lang.Object, class org.mockito.internal.creation.bytebuddy.AbstractByteBuddyMockMakerTest$SomeClass]
 at app//org.mockito.internal.creation.bytebuddy.InlineDelegateByteBuddyMockMaker.prettifyFailure(InlineDelegateByteBuddyMockMaker.java:441)
 Caused by: org.mockito.exceptions.base.MockitoException: Could not modify all classes [class java.lang.Object, class org.mockito.internal.creation.bytebuddy.AbstractByteBuddyMockMakerTest$SomeClass]
 Caused by: java.lang.instrument.UnmodifiableClassException
 at app//org.mockito.internal.creation.bytebuddy.InlineBytecodeGenerator.triggerRetransformation(InlineBytecodeGenerator.java:281)","[
    ('ExceptionType', 'org.mockito.exceptions.base.MockitoException'),
    ('ExceptionMessage', 'Could not modify all classes [class java.lang.Object, class org.mockito.internal.creation.bytebuddy.AbstractByteBuddyMockMakerTest$SomeClass]'),
    ('ClassElem', 'app//org.mockito.internal.creation.bytebuddy.InlineDelegateByteBuddyMockMaker'),
    ('MethodElem', 'prettifyFailure'),
    ('FileElem', 'InlineDelegateByteBuddyMockMaker.java'),
    ('LineElem', '441'),
    ('ExceptionType', 'org.mockito.exceptions.base.MockitoException'),
    ('ExceptionMessage', 'Could not modify all classes [class java.lang.Object, class org.mockito.internal.creation.bytebuddy.AbstractByteBuddyMockMakerTest$SomeClass]'),
    ('ExceptionType', 'java.lang.instrument.UnmodifiableClassException'),
    ('ClassElem', 'app//org.mockito.internal.creation.bytebuddy.InlineBytecodeGenerator'),
    ('MethodElem', 'triggerRetransformation'),
    ('FileElem', 'InlineBytecodeGenerator.java'),
    ('LineElem', '281')
]"
"java.lang.StackOverflowError
 at java.base/sun.nio.ch.EPollSelectorImpl.<init>(EPollSelectorImpl.java:80)
 at Case.main(Case.java:9)
 at Case.main(Case.java:9)","[
    ('ExceptionType', 'java.lang.StackOverflowError'),
    ('ClassElem', 'java.base/sun.nio.ch.EPollSelectorImpl'),
    ('MethodElem', '<init>'),
    ('FileElem', 'EPollSelectorImpl.java'),
    ('LineElem', '80'),
    ('ClassElem', 'Case'),
    ('MethodElem', 'main'),
    ('FileElem', 'Case.java'),
    ('LineElem', '9'),
    ('ClassElem', 'Case'),
    ('MethodElem', 'main'),
    ('FileElem', 'Case.java'),
    ('LineElem', '9')
]"
"java.io.FileNotFoundException: /home/jenkins/workspace/Test_openjdkNext_j9_sanity.functional_x86-64_linux_Personal_testList_1/jvmtest/functional/Java21andUp/testng_210.xml (No such file or directory)
 at java.base/java.io.FileInputStream.open0(Native Method)
 at org.testng.TestNG.main(TestNG.java:1323)","[
    ('ExceptionType', 'java.io.FileNotFoundException'),
    ('ExceptionMessage', '/home/jenkins/workspace/Test_openjdkNext_j9_sanity.functional_x86-64_linux_Personal_testList_1/jvmtest/functional/Java21andUp/testng_210.xml (No such file or directory)'),
    ('ClassElem', 'java.base/java.io.FileInputStream'),
    ('MethodElem', 'open0'),
    ('FileElem', 'Native Method'),
    ('LineElem', ''),
    ('ClassElem', 'org.testng.TestNG'),
    ('MethodElem', 'main'),
    ('FileElem', 'TestNG.java'),
    ('LineElem', '1323')
]"
"org.opentest4j.AssertionFailedError: Duration 999ms, expected >= 1000ms ==> expected: <true> but was: <false>
 at org.junit.jupiter.api.AssertionFailureBuilder.build(AssertionFailureBuilder.java:151)
 at SleepSanity.testMillis(SleepSanity.java:48)","[
    ('ExceptionType', 'org.opentest4j.AssertionFailedError'),
    ('ExceptionMessage', 'Duration 999ms, expected >= 1000ms ==> expected: <true> but was: <false>'),
    ('ClassElem', 'org.junit.jupiter.api.AssertionFailureBuilder'),
    ('MethodElem', 'build'),
    ('FileElem', 'AssertionFailureBuilder.java'),
    ('LineElem', '151'),
    ('ClassElem', 'SleepSanity'),
    ('MethodElem', 'testMillis'),
    ('FileElem', 'SleepSanity.java'),
    ('LineElem', '48')
]"
"at org.testng.internal.TestInvoker$MethodInvocationAgent.invoke(TestInvoker.java:822)  
at java.base/java.lang.Thread.run(Thread.java:839)
","[
    ('ClassElem', 'org.testng.internal.TestInvoker$MethodInvocationAgent'),
    ('MethodElem', 'invoke'),
    ('FileElem', 'TestInvoker.java'),
    ('LineElem', '822'),
    ('ClassElem', 'java.base/java.lang.Thread'),
    ('MethodElem', 'run'),
    ('FileElem', 'Thread.java'),
    ('LineElem', '839')
]"
"java.lang.NullPointerException
 at java.base/java.lang.String.charAt(String.java:1319)
 at java.base/java.lang.Thread.run(Thread.java:839)","[
    ('ExceptionType', 'java.lang.NullPointerException'),
    ('ClassElem', 'java.base/java.lang.String'),
    ('MethodElem', 'charAt'),
    ('FileElem', 'String.java'),
    ('LineElem', '1319'),
    ('ClassElem', 'java.base/java.lang.Thread'),
    ('MethodElem', 'run'),
    ('FileElem', 'Thread.java'),
    ('LineElem', '839')
]"
"java.lang.NullPointerException
 at java.base/java.lang.String.charAt(String.java:1319)
 at java.base/java.lang.String.format(String.java:3728)","[
    ('ExceptionType', 'java.lang.NullPointerException'),
    ('ClassElem', 'java.base/java.lang.String'),
    ('MethodElem', 'charAt'),
    ('FileElem', 'String.java'),
    ('LineElem', '1319'),
    ('ClassElem', 'java.base/java.lang.String'),
    ('MethodElem', 'format'),
    ('FileElem', 'String.java'),
    ('LineElem', '3728')
]"
"java.lang.NullPointerException
 at java.base/java.lang.String.charAt(String.java:1319)
 at java.base/java.lang.String.format(String.java:3728)","[
    ('ExceptionType', 'java.lang.NullPointerException'),
    ('ClassElem', 'java.base/java.lang.String'),
    ('MethodElem', 'charAt'),
    ('FileElem', 'String.java'),
    ('LineElem', '1319'),
    ('ClassElem', 'java.base/java.lang.String'),
    ('MethodElem', 'format'),
    ('FileElem', 'String.java'),
    ('LineElem', '3728')
]"
"java.lang.NullPointerException
 at java.base/java.lang.String.charAt(String.java:1319)
 at java.base/java.lang.String.format(String.java:3728)","[
    ('ExceptionType', 'java.lang.NullPointerException'),
    ('ClassElem', 'java.base/java.lang.String'),
    ('MethodElem', 'charAt'),
    ('FileElem', 'String.java'),
    ('LineElem', '1319'),
    ('ClassElem', 'java.base/java.lang.String'),
    ('MethodElem', 'format'),
    ('FileElem', 'String.java'),
    ('LineElem', '3728')
]"
"java.lang.NullPointerException
 at java.base/java.lang.String.charAt(String.java:1319)
 at java.base/java.lang.String.format(String.java:3728)","[
    ('ExceptionType', 'java.lang.NullPointerException'),
    ('ClassElem', 'java.base/java.lang.String'),
    ('MethodElem', 'charAt'),
    ('FileElem', 'String.java'),
    ('LineElem', '1319'),
    ('ClassElem', 'java.base/java.lang.String'),
    ('MethodElem', 'format'),
    ('FileElem', 'String.java'),
    ('LineElem', '3728')
]"
"Exception in thread ""Thread-0"" org.eclipse.openj9.criu.SystemCheckpointException: Could not dump the JVM processes, err=-52
 at openj9.criu/org.eclipse.openj9.criu.CRIUSupport.checkpointJVMImpl(Native Method)
 at java.base/java.lang.Thread.run(Thread.java:857)","[
    ('ExceptionType', 'org.eclipse.openj9.criu.SystemCheckpointException'),
    ('ExceptionMessage', 'Could not dump the JVM processes, err=-52'),
    ('ClassElem', 'openj9.criu/org.eclipse.openj9.criu.CRIUSupport'),
    ('MethodElem', 'checkpointJVMImpl'),
    ('FileElem', 'Native Method'),
    ('LineElem', ''),
    ('ClassElem', 'java.base/java.lang.Thread'),
    ('MethodElem', 'run'),
    ('FileElem', 'Thread.java'),
    ('LineElem', '857')
]"
"java.lang.InternalError: SIGBUS
 at java.base/java.nio.Buffer.session(Buffer.java:766)
 at java.base/java.lang.Thread.run(Thread.java:1639)","[
    ('ExceptionType', 'java.lang.InternalError'),
    ('ExceptionMessage', 'SIGBUS'),
    ('ClassElem', 'java.base/java.nio.Buffer'),
    ('MethodElem', 'session'),
    ('FileElem', 'Buffer.java'),
    ('LineElem', '766'),
    ('ClassElem', 'java.base/java.lang.Thread'),
    ('MethodElem', 'run'),
    ('FileElem', 'Thread.java'),
    ('LineElem', '1639')
]"
"java.lang.ArrayIndexOutOfBoundsException
 at java.lang.CharacterDataLatin1.getProperties(CharacterDataLatin1.java:72)
 at java.lang.Thread.run(Thread.java:826)","[
    ('ExceptionType', 'java.lang.ArrayIndexOutOfBoundsException'),
    ('ClassElem', 'java.lang.CharacterDataLatin1'),
    ('MethodElem', 'getProperties'),
    ('FileElem', 'CharacterDataLatin1.java'),
    ('LineElem', '72'),
    ('ClassElem', 'java.lang.Thread'),
    ('MethodElem', 'run'),
    ('FileElem', 'Thread.java'),
    ('LineElem', '826')
]"
"java.lang.IllegalAccessError: invokeinterface of non-public method 'contains(Ljava/lang/Object;)Z' in java/util/HashSet
 at java.base/sun.security.util.AlgorithmDecomposer.decompose(AlgorithmDecomposer.java:132)
 at ClientModeClientAuth$2.run(ClientModeClientAuth.java:257)","[
    ('ExceptionType', 'java.lang.IllegalAccessError'),
    ('ExceptionMessage', 'invokeinterface of non-public method \'contains(Ljava/lang/Object;)Z\' in java/util/HashSet'),
    ('ClassElem', 'java.base/sun.security.util.AlgorithmDecomposer'),
    ('MethodElem', 'decompose'),
    ('FileElem', 'AlgorithmDecomposer.java'),
    ('LineElem', '132'),
    ('ClassElem', 'ClientModeClientAuth$2'),
    ('MethodElem', 'run'),
    ('FileElem', 'ClientModeClientAuth.java'),
    ('LineElem', '257')
]"
"java.lang.Exception: ERROR: Ciphertext does not match
 at CipherByteBufferOverwriteTest.runTest(CipherByteBufferOverwriteTest.java:187)
 at java.base/java.lang.Thread.run(Thread.java:857)","[
    ('ExceptionType', 'java.lang.Exception'),
    ('ExceptionMessage', 'ERROR: Ciphertext does not match'),
    ('ClassElem', 'CipherByteBufferOverwriteTest'),
    ('MethodElem', 'runTest'),
    ('FileElem', 'CipherByteBufferOverwriteTest.java'),
    ('LineElem', '187'),
    ('ClassElem', 'java.base/java.lang.Thread'),
    ('MethodElem', 'run'),
    ('FileElem', 'Thread.java'),
    ('LineElem', '857')
]"
"java.lang.AssertionError:
 at org.testng.AssertJUnit.fail(AssertJUnit.java:59)
 at org.openj9.test.java.lang.management.TestOperatingSystemMXBean.testGetAttributes(TestOperatingSystemMXBean.java:464)","[
    ('ExceptionType', 'java.lang.AssertionError'),
    ('ClassElem', 'org.testng.AssertJUnit'),
    ('MethodElem', 'fail'),
    ('FileElem', 'AssertJUnit.java'),
    ('LineElem', '59'),
    ('ClassElem', 'org.openj9.test.java.lang.management.TestOperatingSystemMXBean'),
    ('MethodElem', 'testGetAttributes'),
    ('FileElem', 'TestOperatingSystemMXBean.java'),
    ('LineElem', '464')
]"
"java.lang.ExceptionInInitializerError
 at java.base/java.lang.J9VMInternals.recordInitializationFailure(J9VMInternals.java:175)
 Caused by: java.lang.ArrayIndexOutOfBoundsException
 at org.apache.tools.ant.util.DateUtils.<clinit>(DateUtils.java:72)","[
    ('ExceptionType', 'java.lang.ExceptionInInitializerError'),
    ('ClassElem', 'java.base/java.lang.J9VMInternals'),
    ('MethodElem', 'recordInitializationFailure'),
    ('FileElem', 'J9VMInternals.java'),
    ('LineElem', '175'),
    ('ExceptionType', 'java.lang.ArrayIndexOutOfBoundsException'),
    ('ClassElem', 'org.apache.tools.ant.util.DateUtils'),
    ('MethodElem', '<clinit>'),
    ('FileElem', 'DateUtils.java'),
    ('LineElem', '72')
]"
"java.lang.RuntimeException: JVMTI multi thread state is wrong
 at ThreadListStackTracesTest.failed(ThreadListStackTracesTest.java:87)
 at java.base/java.lang.Thread.run(Thread.java:1595)","[
    ('ExceptionType', 'java.lang.RuntimeException'),
    ('ExceptionMessage', 'JVMTI multi thread state is wrong'),
    ('ClassElem', 'ThreadListStackTracesTest'),
    ('MethodElem', 'failed'),
    ('FileElem', 'ThreadListStackTracesTest.java'),
    ('LineElem', '87'),
    ('ClassElem', 'java.base/java.lang.Thread'),
    ('MethodElem', 'run'),
    ('FileElem', 'Thread.java'),
    ('LineElem', '1595')
]"
"java.lang.ArrayIndexOutOfBoundsException
 at java.base/java.lang.CharacterDataLatin1.getProperties(CharacterDataLatin1.java:74)
 at java.base/java.lang.Thread.run(Thread.java:839)","[
    ('ExceptionType', 'java.lang.ArrayIndexOutOfBoundsException'),
    ('ClassElem', 'java.base/java.lang.CharacterDataLatin1'),
    ('MethodElem', 'getProperties'),
    ('FileElem', 'CharacterDataLatin1.java'),
    ('LineElem', '74'),
    ('ClassElem', 'java.base/java.lang.Thread'),
    ('MethodElem', 'run'),
    ('FileElem', 'Thread.java'),
    ('LineElem', '839')
]"
